Year,Quarter,pistar_PTR
1968,1,1.6827
1968,2,1.6827
1968,3,2.5154
1968,4,2.5154
1969,1,2.5154
1969,2,2.6198
1969,3,2.6787
1969,4,2.6787
1970,1,2.6787
1970,2,2.6787
1970,3,2.8353
1970,4,3.0976
1971,1,3.0976
1971,2,3.0976
1971,3,3.0976
1971,4,3.4937
1972,1,3.4937
1972,2,3.4937
1972,3,3.4937
1972,4,3.9173
1973,1,3.9173
1973,2,3.9173
1973,3,3.9173
1973,4,3.9173
1974,1,4.211033333
1974,2,4.889733333
1974,3,5.0722
1974,4,5.0722
1975,1,5.0722
1975,2,5.095066667
1975,3,5.1408
1975,4,5.1408
1976,1,4.878833333
1976,2,4.402866667
1976,3,4.4988
1976,4,4.4988
1977,1,4.4988
1977,2,4.616
1977,3,4.8504
1977,4,4.8504
1978,1,5.038633333
1978,2,5.4151
1978,3,5.4151
1978,4,5.659166667
1979,1,6.1473
1979,2,6.1473
1979,3,6.7167
1979,4,6.7167
1980,1,6.7167
1980,2,6.7167
1980,3,6.7167
1980,4,7.0525
1981,1,7.7241
1981,2,7.47
1981,3,7.22
1981,4,7.33
1982,1,6.76
1982,2,6.359999
1982,3,6.365573262
1982,4,6.199999
1983,1,5.92
1983,2,6.18
1983,3,6.229999
1983,4,6.25
1984,1,6.18
1984,2,6.102458508
1984,3,5.649999
1984,4,5.3
1985,1,4.953389831
1985,2,5.0749995
1985,3,5.295
1985,4,5.211310475
1986,1,4.877118119
1986,2,4.851427912
1986,3,4.718851951
1986,4,4.705217054
1987,1,4.8849995
1987,2,4.895737197
1987,3,5.080819672
1987,4,4.74
1988,1,4.835
1988,2,4.645
1988,3,4.52
1988,4,4.266847826
1989,1,4.29
1989,2,4.34
1989,3,4.13
1989,4,3.905737705
1990,1,3.655737705
1990,2,3.87
1990,3,3.988032787
1990,4,3.898360656
1991,1,3.91220339
1991,2,3.94
1991,3,3.68
1991,4,3.6
1992,1,3.3
1992,2,3.5
1992,3,3.35
1992,4,3.2
1993,1,3.1
1993,2,3.3
1993,3,3.05
1993,4,3.05
1994,1,3.05
1994,2,3.1
1994,3,3.1
1994,4,3.1
1995,1,2.9
1995,2,2.95
1995,3,2.8
1995,4,2.6
1996,1,2.6
1996,2,2.6
1996,3,2.6
1996,4,2.6
1997,1,2.6
1997,2,2.45
1997,3,2.6
1997,4,2.25
1998,1,2.2
1998,2,2.1
1998,3,2.1
1998,4,2.1
1999,1,1.9
1999,2,2.1
1999,3,2.1
1999,4,2.1
2000,1,2.1
2000,2,2.1
2000,3,2.1
2000,4,2.1
2001,1,2.1
2001,2,2.1
2001,3,2.1
2001,4,2.15
2002,1,2.1
2002,2,2.1
2002,3,2.1
2002,4,2.05
2003,1,2.1
2003,2,2.1
2003,3,2.1
2003,4,2.1
2004,1,2.1
2004,2,2.1
2004,3,2.1
2004,4,2.1
2005,1,2.05
2005,2,2.1
2005,3,2.1
2005,4,2.1
2006,1,2.1
2006,2,2.1
2006,3,2.1
2006,4,2.1
2007,1,2
2007,2,2
2007,3,2.1
2007,4,2.1
2008,1,2.2
2008,2,2.2
2008,3,2.2
2008,4,2.2
2009,1,2.2
2009,2,2.28
2009,3,2.15
2009,4,2.1
2010,1,2.1
2010,2,2.15
2010,3,2.11
2010,4,2
2011,1,2.1
2011,2,2.27
2011,3,2.25
2011,4,2.16
2012,1,2.15
2012,2,2.2
2012,3,2.2
2012,4,2.1
2013,1,2
2013,2,2
2013,3,2
2013,4,2
2014,1,2
2014,2,2
2014,3,2
2014,4,2
2015,1,2
2015,2,1.98
2015,3,2
2015,4,1.9
2016,1,1.97
2016,2,2
2016,3,2
2016,4,2
2017,1,2.1
2017,2,2.09
2017,3,2
2017,4,2
2018,1,2
2018,2,2
2018,3,2
2018,4,2.01
2019,1,2
2019,2,2
2019,3,2
